"id","wordPartsOfSpeechId","meaning","exampleSentence1","exampleSentenceJapanese1","exampleSentence2","exampleSentenceJapanese2","displayOrder"
"716d9f8f-3496-4542-a816-9394cc35a8fe","a18a5596-65e4-4def-90a9-3c60e7a358b8","アフリカ大陸","Africa is a large continent.","アフリカは大きな大陸です。","Many countries are located in Africa.","多く国がアフリカに位置しています。","1"
"3e6a1e7a-ad55-433e-9f3d-764ef5b7e11f","6f22b612-0403-4ab4-9fe4-285389af97d4","アフリカの","African music is very diverse.","アフリカの音楽はとても多様です。","We studied African history in school.","私たちは学校でアフリカの歴史を学びました。","1"
"a26830aa-df53-4993-9718-ee9aeec8f8e8","eaa1634f-5c9a-488f-87f1-cedff93ba07c","アフリカ人","He is an African.","彼はアフリカ人です。","Many Africans live in Europe.","多くのアフリカ人がヨーロッパに住んでいます。","1"
"66895062-8d98-4b3e-ae93-47579d242ffd","9c0c85c8-d61c-4dda-967c-38677f0eaefe","アメリカ合衆国","I want to travel to America.","私はアメリカへ旅行に行きたい。","America has a diverse culture.","アメリカは多様な文化を持っている。","1"
"96f19876-2de8-40f3-be7a-eca242d7ba9c","05045af3-fc3a-45d5-8cf4-96f234987c3b","アメリカ大陸","America is a large continent.","アメリカは大きな大陸です。","Many species of animals are unique to America.","多く動物種がアメリカ大陸に固有です。","1"
"0fdbb8aa-8958-4371-b75e-47821f5b0b2f","d5ab8848-50b7-4d3e-8cac-437cc401b910","アメリカの","He is an American citizen.","彼はアメリカ国民です。","I love American movies.","私はアメリカ映画が大好きです。","1"
"16d5cf3e-950c-4a92-b074-59b618efc705","b4a5bc25-2df7-4801-b01a-979bea27c879","アメリカ人","He is an American.","彼はアメリカ人です。","Many Americans visit Japan every year.","毎年、多くのアメリカ人が日本を訪れます。","1"
"b9212974-05b1-4de3-a15c-fc5b984768a9","813ceea0-ae61-4cfa-9c05-3e0c0e5b6e3c","アメリカの","I love American movies.","私はアメリカの映画が大好きです。","She is studying American history at university.","彼女は大学でアメリカの歴史を学んでいます。","1"
"da0d1101-369a-40a4-ac44-199433c71695","a5801ca8-5569-4001-9d2b-f7a385275656","南極大陸","Antarctica is the coldest continent.","南極大陸は最も寒い大陸です。","Scientists are studying climate change in Antarctica.","科学者たちは南極大陸で気候変動を研究しています。","1"
"10ded52a-8bc4-4f40-8a34-b62232877c22","e16ad16d-17d2-4631-bbb6-dd35d5a72100","4月","April is the fourth month of the year.","4月は一年の4番目の月です。","My birthday is in April.","私の誕生日は4月です。","1"
"f3fe9be3-fdea-4965-8e5c-df2bde4f137d","e831d679-9255-47d9-9567-f75336e6829e","アジア大陸","Asia is the largest continent in the world.","アジアは世界で一番大きな大陸です。","Many different cultures exist in Asia.","アジアには様々な文化が存在します。","1"
"9708e8bf-6825-462b-8388-9fb4df1dc5d3","e50c56ff-bbd8-4b54-b9b3-9413979527ac","アジアの、アジア的な","Asian cuisine is very popular.","アジア料理はとても人気があります。","The Asian market is growing rapidly.","アジア市場は急速に成長しています。","1"
"42db2e39-8ddf-40a6-81d6-d52407fee8f5","37e91822-c501-4931-b486-50858baf4751","アジア人","She is an Asian.","彼女はアジア人です。","Many Asians live in this city.","多くのアジア人がこの都市に住んでいます。","1"
"9689a851-bc5b-462b-8c24-941113fac40d","45f07866-cdd4-4abf-9f29-9cb2e9a8316b","8月","August is the eighth month of the year.","8月は1年の8番目の月です。","My birthday is in August.","私の誕生日は8月です。","1"
